Applicant Id,UID,Course Name,Degree_ID,Application Status
10001,100913,Information Technology,DL1,Applied
10001,100369,Information Technology,DL1,Applied
10001,100861,Information Technology,DL1,Applied
10001,100441,Information Technology,DL1,Applied
10002,100325,Financial Accounting,DL2,Reject
10002,100176,Financial Accounting,DL2,Reject
10002,10028,Financial Accounting,DL2,Reject
10002,100597,Financial Accounting,DL2,Reject
10003,100964,Mathematics,DL1,Applied
10003,100992,Mathematics,DL1,Reject
10003,100696,Mathematics,DL1,Reject
10004,100777,Supply Chain Management,DL2,Applied
10004,100917,Supply Chain Management,DL2,Admit
10004,100302,Supply Chain Management,DL2,Admit
10005,1001297,Chemistry,DL3,Admit
10005,100832,Chemistry,DL3,Applied
10006,100927,Data Science,DL1,Reject
10006,1001115,Data Science,DL1,Applied
10006,100921,Data Science,DL1,Applied
10006,1001117,Data Science,DL1,Applied
10006,1001015,Data Science,DL1,Applied
10007,100300,Environmental Science,DL3,Reject
10007,100908,Environmental Science,DL3,Admit
10007,100957,Environmental Science,DL3,Applied
10008,100382,Mathematics,DL1,Reject
10008,100426,Mathematics,DL1,Applied
10009,1001163,Computer Science,DL1,Reject
100010,100753,Cost Accounting,DL2,Reject
100010,1001001,Cost Accounting,DL2,Admit
100010,100597,Cost Accounting,DL2,Admit
100011,1001167,Information Technology,DL3,Applied
100011,100990,Information Technology,DL3,Reject
100011,100889,Information Technology,DL3,Reject
100012,100114,Leadership and Management,DL2,Reject
100012,100844,Leadership and Management,DL2,Reject
100012,1001286,Leadership and Management,DL2,Reject
100012,100767,Leadership and Management,DL2,Applied
100013,100441,Organizational Behavior,DL2,Admit
100013,1001076,Organizational Behavior,DL2,Admit
100013,1001255,Organizational Behavior,DL2,Applied
100013,1001193,Organizational Behavior,DL2,Applied
100014,100243,Political Science,DL3,Admit
100014,10040,Political Science,DL3,Reject
100014,1001237,Political Science,DL3,Applied
100015,1001014,Electrical Engineering,DL1,Admit
100015,1001131,Electrical Engineering,DL1,Applied
100015,100402,Electrical Engineering,DL1,Applied
100016,1001251,Biology,DL3,Admit
100016,1001261,Biology,DL3,Applied
100016,100185,Biology,DL3,Applied
100017,10014,Electrical Engineering,DL3,Reject
100017,1001131,Electrical Engineering,DL3,Admit
100017,100456,Electrical Engineering,DL3,Applied
100018,1001296,Electrical Engineering,DL1,Admit
100018,100779,Electrical Engineering,DL1,Applied
