UID,university,TID,CID,RID,RO_ID,SID,rank_display,student_faculty_ratio,GRE_ID,GRE Score,IELTS,Toefl,GPA,link
1001,Massachusetts Institute of Technology (MIT) ,Type1,CU1,R1,RA_RO1,S1,1,4,GRE1,Not Required,6.5,97,3.1,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit
1002,University of Oxford,Type2,CU2,R2,RA_RO1,S2,2,3,GRE2,Not Applicable,6.5,117,2.6,https://www.topuniversities.com/universities/university-oxford
1003,Stanford University,Type1,CU1,R1,RA_RO1,S2,3,3,GRE1,Not Required,8,116,2.9,https://www.topuniversities.com/universities/stanford-university
1004,University of Cambridge,Type2,CU2,R2,RA_RO2,S2,3,4,GRE2,Not Applicable,7.5,91,3.3,https://www.topuniversities.com/universities/university-cambridge
1005,Harvard University,Type1,CU1,R1,RA_RO1,S2,5,5,GRE3,335,8,113,2.5,https://www.topuniversities.com/universities/harvard-university
1006,California Institute of Technology (Caltech),Type1,CU1,R1,RA_RO1,S3,6,2,GRE4,321,9,96,2.7,https://www.topuniversities.com/universities/california-institute-technology-caltech
1007,Imperial College London,Type2,CU2,R2,RA_RO1,S2,7,5,GRE2,Not Applicable,6,97,2.5,https://www.topuniversities.com/universities/imperial-college-london
1008,ETH Zurich - Swiss Federal Institute of Technology,Type2,CU3,R2,RA_RO1,S2,8,7,GRE2,Not Applicable,7,105,3,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology
1009,UCL,Type2,CU2,R2,RA_RO1,S4,8,5,GRE2,Not Applicable,8.5,117,3,https://www.topuniversities.com/universities/ucl
10010,University of Chicago,Type1,CU1,R1,RA_RO1,S2,10,6,GRE4,319,6,100,3.1,https://www.topuniversities.com/universities/university-chicago
10011,National University of Singapore (NUS),Type2,CU4,R3,RA_RO1,S4,11,7,GRE2,Not Applicable,6,99,2.6,https://www.topuniversities.com/universities/national-university-singapore-nus
10012,"Nanyang Technological University, Singapore (NTU)",Type2,CU4,R3,RA_RO1,S2,12,6,GRE2,Not Applicable,7.5,110,3.2,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu
10013,University of Pennsylvania,Type1,CU1,R1,RA_RO1,S2,13,4,GRE1,Not Required,9,116,2.9,https://www.topuniversities.com/universities/university-pennsylvania
10014,EPFL,Type2,CU3,R2,RA_RO1,S1,14,6,GRE2,Not Applicable,6.5,96,3.4,https://www.topuniversities.com/universities/epfl
10015,Yale University,Type1,CU1,R1,RA_RO1,S1,14,2,GRE3,330,7.5,92,3.4,https://www.topuniversities.com/universities/yale-university
10016,The University of Edinburgh,Type2,CU2,R2,RA_RO1,S4,16,7,GRE2,Not Applicable,8,95,3.4,https://www.topuniversities.com/universities/university-edinburgh
10017,Tsinghua University,Type2,CU5,R3,RA_RO1,S4,17,6,GRE2,Not Applicable,7,113,2.8,https://www.topuniversities.com/universities/tsinghua-university
10018,Peking University,Type2,CU5,R3,RA_RO1,S4,18,6,GRE2,Not Applicable,6.5,102,2.6,https://www.topuniversities.com/universities/peking-university
10019,Columbia University,Type1,CU1,R1,RA_RO1,S2,19,4,GRE3,325,8.5,108,2.6,https://www.topuniversities.com/universities/columbia-university
10020,Princeton University,Type1,CU1,R1,RA_RO1,S1,20,8,GRE1,Not Required,7.5,104,2.7,https://www.topuniversities.com/universities/princeton-university
