UID,university,TID,Tuition and fees,CID,RID,year,RO_ID,rank_display,student_faculty_ratio,SID,GRE_ID,GRE Score,IELTS,Toefl,GPA,link
1001,Massachusetts Institute of Technology (MIT) ,Type1,66276,CU1,R1,2022,RA_RO1,1,4,S1,GRE1,0,7,97,2.7,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit
1002,University of Oxford,Type2,25020,CU2,R2,2022,RA_RO1,2,3,S2,GRE2,0,7,91,3.1,https://www.topuniversities.com/universities/university-oxford
1003,Stanford University,Type1,64143,CU1,R1,2022,RA_RO1,3,3,S2,GRE1,0,8,112,2.6,https://www.topuniversities.com/universities/stanford-university
1004,University of Cambridge,Type2,44255,CU2,R2,2022,RA_RO2,3,4,S2,GRE2,0,8.5,108,2.8,https://www.topuniversities.com/universities/university-cambridge
1005,Harvard University,Type1,57811,CU1,R1,2022,RA_RO1,5,5,S2,GRE1,0,6.5,100,3.3,https://www.topuniversities.com/universities/harvard-university
1006,California Institute of Technology (Caltech),Type1,46836,CU1,R1,2022,RA_RO1,6,2,S3,GRE1,0,8,112,2.7,https://www.topuniversities.com/universities/california-institute-technology-caltech
1007,Imperial College London,Type2,38853,CU2,R2,2022,RA_RO1,7,5,S2,GRE2,0,9,103,2.8,https://www.topuniversities.com/universities/imperial-college-london
1008,ETH Zurich - Swiss Federal Institute of Technology,Type2,43539,CU3,R2,2022,RA_RO1,8,7,S2,GRE2,0,7,99,3.2,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology
1009,UCL,Type2,44137,CU2,R2,2022,RA_RO1,8,5,S4,GRE2,0,7,92,2.7,https://www.topuniversities.com/universities/ucl
10010,University of Chicago,Type1,25534,CU1,R1,2022,RA_RO1,10,6,S2,GRE3,330,8,110,2.9,https://www.topuniversities.com/universities/university-chicago
10011,National University of Singapore (NUS),Type2,48507,CU4,R3,2022,RA_RO1,11,7,S4,GRE2,0,6,115,3.2,https://www.topuniversities.com/universities/national-university-singapore-nus
10012,"Nanyang Technological University, Singapore (NTU)",Type2,61856,CU4,R3,2022,RA_RO1,12,6,S2,GRE2,0,6,111,2.8,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu
10013,University of Pennsylvania,Type1,32953,CU1,R1,2022,RA_RO1,13,4,S2,GRE1,0,7,110,3,https://www.topuniversities.com/universities/university-pennsylvania
10014,EPFL,Type2,63989,CU3,R2,2022,RA_RO1,14,6,S1,GRE2,0,8.5,93,2.5,https://www.topuniversities.com/universities/epfl
