university,year,rank_display,link,country,city,region,type,research_output,student_faculty_ratio,international_students,size,faculty_count,GRE Waiver,GRE Score,IELTS,Toefl,GPA,Tuition and fees,Acceptance Ratio,UID,CID,RID,SID,TID,GRE_ID,RO_ID
Massachusetts Institute of Technology (MIT) ,2022,1,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,Private,Very High,4.0,"3,730",M,"3,065",Optional,327,7.0,116,3.400000000000001,50824,6.000000000000003,1001,CU1,R1,S1,Type1,GRE1,RA_RO1
University of Oxford,2022,2,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,Public,Very High,3.0,"8,442",L,"6,708",Not Applicable,Not Applicable,6.0,95,3.3000000000000007,65338,41.400000000000034,1002,CU2,R2,S2,Type2,GRE2,RA_RO1
Stanford University,2022,3,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,Private,Very High,3.0,"3,879",L,"4,725",Yes,306,7.0,105,2.5,61539,30.100000000000023,1003,CU1,R1,S2,Type1,GRE3,RA_RO1
University of Cambridge,2022,3,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,Public,Very high,4.0,"7,925",L,"5,800",Not Applicable,Not Applicable,8.0,104,3.1000000000000005,45892,24.80000000000002,1004,CU2,R2,S2,Type2,GRE2,RA_RO2
Harvard University,2022,5,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,Private,Very High,5.0,"5,877",L,"4,646",No,Not Required,6.0,117,3.400000000000001,45043,49.20000000000004,1005,CU1,R1,S2,Type1,GRE4,RA_RO1
California Institute of Technology (Caltech),2022,6,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,Private,Very High,2.0,692,S,968,Yes,300,9.0,111,3.3000000000000007,25905,21.700000000000017,1006,CU1,R1,S3,Type1,GRE3,RA_RO1
Imperial College London,2022,7,https://www.topuniversities.com/universities/imperial-college-london,United Kingdom,London,Europe,Public,Very High,5.0,"11,143",L,"8,000",Not Applicable,Not Applicable,8.5,116,3.0000000000000004,40989,36.00000000000003,1007,CU2,R2,S2,Type2,GRE2,RA_RO1
ETH Zurich - Swiss Federal Institute of Technology,2022,8,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,Zürich,Europe,Public,Very High,7.0,"7,733",L,"2,719",Not Applicable,Not Applicable,6.5,111,3.1000000000000005,25614,49.90000000000004,1008,CU3,R2,S2,Type2,GRE2,RA_RO1
UCL,2022,8,https://www.topuniversities.com/universities/ucl,United Kingdom,London,Europe,Public,Very High,5.0,"21,824",XL,"7,195",Not Applicable,Not Applicable,8.5,109,2.5,43712,48.70000000000004,1009,CU2,R2,S4,Type2,GRE2,RA_RO1
University of Chicago,2022,10,https://www.topuniversities.com/universities/university-chicago,United States,Chicago,North America,Private,Very High,6.0,"4,696",L,"2,703",No,Not Required,9.0,106,2.5,55598,49.90000000000004,10010,CU1,R1,S2,Type1,GRE4,RA_RO1
National University of Singapore (NUS),2022,11,https://www.topuniversities.com/universities/national-university-singapore-nus,Singapore,Singapore,Asia,Public,Very High,7.0,"7,551",XL,"4,288",Not Applicable,Not Applicable,6.5,115,2.9000000000000004,42406,46.90000000000004,10011,CU4,R3,S4,Type2,GRE2,RA_RO1
"Nanyang Technological University, Singapore (NTU)",2022,12,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu,Singapore,Singapore,Asia,Public,Very High,6.0,"6,091",L,"3,812",Not Applicable,Not Applicable,7.0,98,3.0000000000000004,25051,10.900000000000007,10012,CU4,R3,S2,Type2,GRE2,RA_RO1
University of Pennsylvania,2022,13,https://www.topuniversities.com/universities/university-pennsylvania,United States,Philadelphia,North America,Private,Very High,4.0,"4,636",L,"5,154",No,Not Required,6.5,102,3.0000000000000004,57792,22.600000000000016,10013,CU1,R1,S2,Type1,GRE4,RA_RO1
EPFL,2022,14,https://www.topuniversities.com/universities/epfl,Switzerland,Lausanne,Europe,Public,Very High,6.0,"6,426",M,"1,767",Not Applicable,Not Applicable,8.5,102,3.1000000000000005,34044,12.000000000000007,10014,CU3,R2,S1,Type2,GRE2,RA_RO1
Yale University,2022,14,https://www.topuniversities.com/universities/yale-university,United States,New Haven,North America,Private,Very High,2.0,"2,537",M,"5,391",Yes,302,8.0,92,3.400000000000001,59984,33.90000000000003,10015,CU1,R1,S1,Type1,GRE3,RA_RO1
The University of Edinburgh,2022,16,https://www.topuniversities.com/universities/university-edinburgh,United Kingdom,Edinburgh,Europe,Public,Very High,7.0,"14,637",XL,"4,832",Not Applicable,Not Applicable,6.5,91,3.2000000000000006,37185,42.80000000000003,10016,CU2,R2,S4,Type2,GRE2,RA_RO1
Tsinghua University,2022,17,https://www.topuniversities.com/universities/tsinghua-university,China (Mainland),Beijing,Asia,Public,Very High,6.0,"5,420",XL,"6,174",Not Applicable,Not Applicable,7.0,103,2.6,34855,29.800000000000026,10017,CU5,R3,S4,Type2,GRE2,RA_RO1
Peking University,2022,18,https://www.topuniversities.com/universities/peking-university,China (Mainland),Beijing,Asia,Public,Very High,6.0,"5,436",XL,"5,302",Not Applicable,Not Applicable,6.0,101,3.400000000000001,54616,14.30000000000001,10018,CU5,R3,S4,Type2,GRE2,RA_RO1
Columbia University,2022,19,https://www.topuniversities.com/universities/columbia-university,United States,New York City,North America,Private,Very High,4.0,"11,252",L,"7,087",Yes,317,8.5,111,2.9000000000000004,67959,14.40000000000001,10019,CU1,R1,S2,Type1,GRE3,RA_RO1
Princeton University,2022,20,https://www.topuniversities.com/universities/princeton-university,United States,Princeton,North America,Private,Very High,8.0,"1,912",M,"1,050",Yes,328,8.0,110,3.400000000000001,61019,7.300000000000004,10020,CU1,R1,S1,Type1,GRE3,RA_RO1
Cornell University,2022,21,https://www.topuniversities.com/universities/cornell-university,United States,Ithaca,North America,Private,Very High,8.0,"5,675",L,"2,843",No,Not Required,9.0,91,2.9000000000000004,41065,27.00000000000002,10021,CU1,R1,S2,Type1,GRE4,RA_RO1
The University of Hong Kong,2022,22,https://www.topuniversities.com/universities/university-hong-kong,Hong Kong SAR,Hong Kong,Asia,Public,Very High,7.0,"8,311",L,"2,944",Not Applicable,Not Applicable,6.5,97,2.5,61337,28.800000000000022,10022,CU6,R3,S2,Type2,GRE2,RA_RO1
The University of Tokyo,2022,23,https://www.topuniversities.com/universities/university-tokyo,Japan,Tokyo,Asia,Public,Very High,6.0,"3,983",L,"4,473",Not Applicable,Not Applicable,8.5,96,2.7,60063,10.200000000000006,10023,CU7,R3,S2,Type2,GRE2,RA_RO1
University of Michigan-Ann Arbor,2022,23,https://www.topuniversities.com/universities/university-michigan-ann-arbor,United States,Ann Arbor,North America,Public,Very High,6.0,"7,341",XL,"7,132",Optional,316,7.5,110,3.1000000000000005,64483,29.800000000000026,10024,CU1,R1,S4,Type2,GRE1,RA_RO1
Johns Hopkins University,2022,25,https://www.topuniversities.com/universities/johns-hopkins-university,United States,Baltimore,North America,Private,Very High,3.0,"5,070",L,"4,855",Optional,328,9.0,94,3.0000000000000004,37426,4.200000000000001,10025,CU1,R1,S2,Type1,GRE1,RA_RO1
University of Toronto,2022,26,https://www.topuniversities.com/universities/university-toronto,Canada,Toronto,North America,Public,Very high,8.0,"27,536",XL,"9,881",Not Applicable,Not Applicable,7.0,106,3.3000000000000007,41867,44.60000000000004,10026,CU8,R1,S4,Type2,GRE2,RA_RO2
McGill University,2022,27,https://www.topuniversities.com/universities/mcgill-university,Canada,Montreal,North America,Public,Very High,7.0,"10,827",L,"3,876",Not Applicable,Not Applicable,6.0,99,2.9000000000000004,55534,4.900000000000002,10027,CU8,R1,S2,Type2,GRE2,RA_RO1
The Australian National University,2022,27,https://www.topuniversities.com/universities/australian-national-university,Australia,Canberra,Oceania,Public,Very High,9.0,"6,496",L,"1,763",Not Applicable,Not Applicable,6.5,107,2.6,63775,24.70000000000002,10028,CU9,R4,S2,Type2,GRE2,RA_RO1
The University of Manchester,2022,27,https://www.topuniversities.com/universities/university-manchester,United Kingdom,Manchester,Europe,Public,Very High,8.0,"16,079",XL,"4,889",Not Applicable,Not Applicable,7.0,101,3.1000000000000005,60102,5.000000000000002,10029,CU2,R2,S4,Type2,GRE2,RA_RO1
Northwestern University,2022,30,https://www.topuniversities.com/universities/northwestern-university,United States,Evanston,North America,Private,Very High,5.0,"3,846",L,"3,652",Optional,335,8.0,101,3.2000000000000006,45349,43.500000000000036,10030,CU1,R1,S2,Type1,GRE1,RA_RO1
Fudan University,2022,31,https://www.topuniversities.com/universities/fudan-university,China (Mainland),Shanghai,Asia,Public,Very High,6.0,"5,322",L,"4,526",Not Applicable,Not Applicable,6.0,111,3.2000000000000006,66656,3.8000000000000007,10031,CU5,R3,S2,Type2,GRE2,RA_RO1
"University of California, Berkeley (UCB)",2022,32,https://www.topuniversities.com/universities/university-california-berkeley-ucb,United States,Berkeley,North America,Public,Very High,11.0,"9,428",XL,"3,701",Optional,316,8.5,105,2.9000000000000004,44902,39.80000000000003,10032,CU1,R1,S4,Type2,GRE1,RA_RO1
Kyoto University,2022,33,https://www.topuniversities.com/universities/kyoto-university,Japan,Kyoto,Asia,Public,Very High,6.0,"2,863",L,"3,911",Not Applicable,Not Applicable,9.0,97,2.8000000000000003,47653,11.400000000000007,10033,CU7,R3,S2,Type2,GRE2,RA_RO1
The Hong Kong University of Science and Technology,2022,34,https://www.topuniversities.com/universities/hong-kong-university-science-technology,Hong Kong SAR,Hong Kong,Asia,Public,Very High,8.0,"3,033",M,697,Not Applicable,Not Applicable,7.5,96,3.3000000000000007,41943,34.60000000000003,10034,CU6,R3,S1,Type2,GRE2,RA_RO1
King's College London,2022,35,https://www.topuniversities.com/universities/kings-college-london,United Kingdom,London,Europe,Public,Very High,7.0,"15,075",L,"4,216",Not Applicable,Not Applicable,6.5,111,3.3000000000000007,67056,45.30000000000004,10035,CU2,R2,S2,Type2,GRE2,RA_RO1
Seoul National University,2022,36,https://www.topuniversities.com/universities/seoul-national-university,South Korea,Seoul,Asia,Public,Very High,7.0,"1,914",L,"3,859",Not Applicable,Not Applicable,8.0,91,3.0000000000000004,65468,32.800000000000026,10036,CU10,R3,S2,Type2,GRE2,RA_RO1
The University of Melbourne,2022,37,https://www.topuniversities.com/universities/university-melbourne,Australia,Parkville,Oceania,Public,Very high,19.0,"21,406",S,"4,835",Not Applicable,Not Applicable,6.0,100,2.9000000000000004,68542,9.600000000000005,10037,CU9,R4,S3,Type2,GRE2,RA_RO2
The University of Sydney,2022,38,https://www.topuniversities.com/universities/university-sydney,Australia,Sydney,Oceania,Public,Very High,13.0,"25,940",XL,"3,571",Not Applicable,Not Applicable,6.5,102,3.3000000000000007,59582,19.900000000000016,10038,CU9,R4,S4,Type2,GRE2,RA_RO1
The Chinese University of Hong Kong (CUHK),2022,39,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk,Hong Kong SAR,Hong Kong,Asia,Public,Very High,8.0,"6,062",L,"2,201",Not Applicable,Not Applicable,7.5,98,3.400000000000001,69560,23.80000000000002,10039,CU6,R3,S2,Type2,GRE2,RA_RO1
"University of California, Los Angeles (UCLA)",2022,40,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,United States,Los Angeles,North America,Public,Very High,10.0,"6,140",XL,"4,487",No,Not Required,7.0,109,2.5,53055,45.60000000000004,10040,CU1,R1,S4,Type2,GRE4,RA_RO1
KAIST - Korea Advanced Institute of Science & Technology,2022,41,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology,South Korea,Daejeon,Asia,Public,Very High,8.0,869,M,"1,307",Not Applicable,Not Applicable,8.0,96,3.2000000000000006,28665,45.000000000000036,10041,CU10,R3,S1,Type2,GRE2,RA_RO1
New York University (NYU),2022,42,https://www.topuniversities.com/universities/new-york-university-nyu,United States,New York City,North America,Private,Very High,6.0,"16,218",XL,"7,874",Optional,308,7.0,98,3.1000000000000005,61642,35.00000000000003,10042,CU1,R1,S4,Type1,GRE1,RA_RO1
The University of New South Wales (UNSW Sydney),2022,43,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney,Australia,Sydney,Oceania,Public,Very High,14.0,"21,603",XL,"3,219",Not Applicable,Not Applicable,8.0,105,2.9000000000000004,58847,29.200000000000024,10043,CU9,R4,S4,Type2,GRE2,RA_RO1
Université PSL,2022,44,https://www.topuniversities.com/universities/universite-psl,France,,Europe,Public,Very High,5.0,"4,922",L,"3,914",Not Applicable,Not Applicable,8.0,100,3.0000000000000004,61596,24.70000000000002,10044,CU11,R2,S2,Type2,GRE2,RA_RO1
Zhejiang University,2022,45,https://www.topuniversities.com/universities/zhejiang-university,China (Mainland),Hangzhou,Asia,Public,Very High,7.0,"9,177",XL,"6,065",Not Applicable,Not Applicable,8.0,116,3.3000000000000007,57186,21.000000000000014,10045,CU5,R3,S4,Type2,GRE2,RA_RO1
University of British Columbia,2022,46,https://www.topuniversities.com/universities/university-british-columbia,Canada,Vancouver,North America,Public,Very High,9.0,"15,399",XL,"6,201",Not Applicable,Not Applicable,8.0,107,3.1000000000000005,38653,28.200000000000024,10046,CU8,R1,S4,Type2,GRE2,RA_RO1
The University of Queensland,2022,47,https://www.topuniversities.com/universities/university-queensland,Australia,Brisbane City,Oceania,Public,Very High,12.0,"22,241",XL,"3,513",Not Applicable,Not Applicable,9.0,92,2.7,46203,6.900000000000004,10047,CU9,R4,S4,Type2,GRE2,RA_RO1
"University of California, San Diego (UCSD)",2022,48,https://www.topuniversities.com/universities/university-california-san-diego-ucsd,United States,San Diego,North America,Public,Very High,8.0,"8,567",XL,"4,545",No,Not Required,7.5,96,3.2000000000000006,26474,34.60000000000003,10048,CU1,R1,S4,Type2,GRE4,RA_RO1
